symbol,name,exchange,category,country,category_number
ORA.PA,ORANGE,PAR,,France,0
ORA.TO,Aura Minerals Inc.,TOR,Gold,Canada,134
ORAC,"Oraco Resources, Inc.",PNK,Industrial Metals & Minerals,USA,133
ORANW.AS,ORANJEWOUD,AMS,,Netherlands,0
ORB,Orbital Sciences Corp.,NYQ,Aerospace/Defense Products & Services,USA,611
ORBC,"ORBCOMM, Inc.",NGM,Diversified Communication Services,USA,846
ORBK,Orbotech Ltd.,NMS,Diversified Electronics,USA,836
ORBT,Orbit International Corp.,NCM,Diversified Electronics,USA,836
ORBTEXP.BO,Orbit Exports Ltd.,BSE,Textile Industrial,India,628
ORC,N/A,ASE,,USA,0
ORC-A.V,Orca Exploration Group Inc.,VAN,,Canada,0
ORC.MU,ORACLE,MUN,,Germany,0
ORC.PA,Orco Property Group SA,PAR,Property Management,France,448
ORCHIDCHEM.BO,Orchid Chemicals & Pharmaceuticals Limited,BSE,Drug Manufacturers - Major,India,510
ORCL,Oracle Corporation,NYQ,Application Software,USA,821
ORCL.BA,Oracle Corporation,BUE,Business Software & Services,Argentina,826
ORCL34.SA,ORACLE      -DRN,SAO,,Brazil,0
ORCP.L,ORACLE COAL,LSE,,United Kingdom,0
ORCT,Orckit Communications Ltd.,OBB,Communication Equipment,USA,841
ORCT.TA,ORCKIT COMMUNIC,TLV,,Israel,0
ORDRF,ORD RIVER RESOURCES,PNK,,USA,0
ORDS.L,,,,,0
ORE.TO,Orezone Gold Corporation,TOR,Gold,Canada,134
OREO,American Liberty Petroleum Corp.,OBB,,USA,0
ORES.ST,INVESTMENT OERESUND,STO,,Sweden,0
OREX,"Orexigen Therapeutics, Inc.",NMS,Drug Manufacturers - Other,USA,511
ORGC,"Organic Alliance, Inc.",PNK,,USA,0
ORGT,Organitech USA Inc.,PNK,,USA,0
ORI,Old Republic International Corporation,NYQ,Surety & Title Insurance,USA,433
ORI-SDB.ST,ORIFLAME COSMET SDR,STO,,Sweden,0
ORI.AX,Orica Limited,ASX,Specialty Chemicals,Australia,113
ORICON.BO,Oricon Enterprises Limited,BSE,,India,0
ORIENTPPR.NS,Orient Paper & Industries Ltd.,NSI,Paper & Paper Products,India,324
ORIG,Ocean Rig UDW Inc.,NMS,Oil & Gas Drilling & Exploration,USA,123
ORINEXP.BO,ORIND EXPORT,BSE,,India,0
ORIT,Oritani Financial Corp.,NMS,Regional - Northeast Banks,USA,411
ORJ.MU,OLD REPUB.INTL CORP,MUN,Property & Casualty Insurance,Germany,432
ORK.OL,ORKLA,OSL,,Norway,0
ORKLY,Orkla ASA,PNK,,USA,0
ORL.AX,OrotonGroup Limited,ASX,Apparel Stores,Australia,730
